Sunlight(Lux),WSGust,WDGust,GloblRad,Precp,TxSoil0cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,WindSpeed(m/s)_yes,Pressure(hpa)_yes,Temperature(°C)_yes,Humidity(%)_yes,Sunlight(Lux)_yes,Power(mW)_yes,WSGust_yes,WDGust_yes,GloblRad_yes,Precp_yes,TxSoil0cm_yes,TxSoil10cm_yes,TxSoil20cm_yes,TxSoil50cm_yes,TxSoil100cm_yes,Sunlight(Lux)_last_min,Sunlight(Lux)_last_2min,Time,Minute,Direction_x,Direction_y,Location,Height,Predicted_Power
23492.653465738906,2.4,232.0,0.5,0.0,18.8,19.0,19.4,20.4,21.6,0.03,1019.96,18.36,100.0,11652.83,29.56,1.1,33.0,0.2,0.5,18.8,19.2,19.5,20.4,21.5,20943.17,18040.33,0.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,143.36
24740.213204897682,2.4,232.0,0.5,0.0,18.8,19.0,19.4,20.4,21.6,0.0,1020.0,18.83,100.0,10853.17,25.79,1.1,33.0,0.2,0.5,18.8,19.2,19.5,20.4,21.5,23492.653465738906,20943.17,1.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,142.25
25276.705426405988,2.4,232.0,0.5,0.0,18.8,19.0,19.4,20.4,21.6,0.0,1019.95,19.31,100.0,11452.75,29.83,1.1,33.0,0.2,0.5,18.8,19.2,19.5,20.4,21.5,24740.213204897682,23492.653465738906,2.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,145.16
27227.778821223845,2.4,232.0,0.5,0.0,18.8,19.0,19.4,20.4,21.6,0.0,1019.95,19.6,100.0,13167.25,40.22,1.1,33.0,0.2,0.5,18.8,19.2,19.5,20.4,21.5,25276.705426405988,24740.213204897682,3.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,169.53
29858.05440149652,2.4,232.0,0.5,0.0,18.8,19.0,19.4,20.4,21.6,0.02,1019.9,20.35,100.0,23192.25,114.83,1.1,33.0,0.2,0.5,18.8,19.2,19.5,20.4,21.5,27227.778821223845,25276.705426405988,4.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,201.0
33935.300015350665,2.4,232.0,0.5,0.0,18.8,19.0,19.4,20.4,21.6,0.0,1019.84,21.91,100.0,27348.92,158.69,1.1,33.0,0.2,0.5,18.8,19.2,19.5,20.4,21.5,29858.05440149652,27227.778821223845,5.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,294.61
38310.08640445161,2.0,208.0,0.8,0.0,19.2,19.1,19.4,20.4,21.6,0.04,1019.78,23.35,100.0,28972.75,180.18,1.2,45.0,0.5,0.0,19.0,19.2,19.5,20.4,21.5,33935.300015350665,29858.05440149652,6.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,327.99
41849.972075593985,2.0,208.0,0.8,0.0,19.2,19.1,19.4,20.4,21.6,0.18,1019.64,23.78,95.5,29488.5,186.28,1.2,45.0,0.5,0.0,19.0,19.2,19.5,20.4,21.5,38310.08640445161,33935.300015350665,7.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,392.62
46107.89826364831,2.0,208.0,0.8,0.0,19.2,19.1,19.4,20.4,21.6,0.2,1019.56,23.71,91.21,35805.58,270.04,1.2,45.0,0.5,0.0,19.0,19.2,19.5,20.4,21.5,41849.972075593985,38310.08640445161,8.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,502.55
56786.73271425938,2.0,208.0,0.8,0.0,19.2,19.1,19.4,20.4,21.6,0.02,1019.45,24.65,84.28,32540.92,222.8,1.2,45.0,0.5,0.0,19.0,19.2,19.5,20.4,21.5,46107.89826364831,41849.972075593985,9.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,725.6
