序號,答案
20240117090001,143.36
20240117091001,142.25
20240117092001,145.16
20240117093001,169.53
20240117094001,201.0
20240117095001,294.61
20240117100001,327.99
20240117101001,392.62
20240117102001,502.55
20240117103001,725.6
20240117104001,920.61
20240117105001,1082.27
20240117110001,603.05
20240117111001,585.68
20240117112001,553.72
20240117113001,541.58
20240117114001,479.36
20240117115001,488.77
20240117120001,464.43
20240117121001,507.77
20240117122001,408.15
20240117123001,323.08
20240117124001,298.4
20240117125001,347.71
20240117130001,468.87
20240117131001,462.37
20240117132001,552.77
20240117133001,586.15
20240117134001,702.44
20240117135001,747.38
20240117140001,834.2
20240117141001,863.27
20240117142001,726.37
20240117143001,720.88
20240117144001,894.23
20240117145001,801.2
20240117150001,715.03
20240117151001,634.56
20240117152001,639.03
20240117153001,491.24
20240117154001,352.81
20240117155001,346.04
20240117160001,232.23
20240117161001,130.94
20240117162001,67.16
20240117163001,49.56
20240117164001,34.98
20240117165001,28.21
20240119090001,179.08
20240119091001,244.76
20240119092001,239.23
20240119093001,315.5
20240119094001,361.06
20240119095001,547.19
20240119100001,757.42
20240119101001,849.87
20240119102001,1029.63
20240119103001,1172.73
20240119104001,1194.36
20240119105001,1154.61
20240119110001,1237.26
20240119111001,1265.06
20240119112001,1159.3
20240119113001,1127.38
20240119114001,1033.1
20240119115001,1126.69
20240119120001,998.3
20240119121001,769.98
20240119122001,938.45
20240119123001,798.01
20240119124001,943.75
20240119125001,1169.5
20240119130001,1085.51
20240119131001,1049.78
20240119132001,1231.24
20240119133001,1055.44
20240119134001,766.16
20240119135001,595.22
20240119140001,1085.98
20240119141001,881.6
20240119142001,1136.74
20240119143001,667.11
20240119144001,894.79
20240119145001,588.86
20240119150001,326.11
20240119151001,241.78
20240119152001,187.5
20240119153001,168.22
20240119154001,111.04
20240119155001,90.26
20240119160001,76.16
20240119161001,67.68
20240119162001,41.99
20240119163001,23.5
20240119164001,10.67
20240119165001,8.99
20240224090001,67.97
20240224091001,64.59
20240224092001,64.74
20240224093001,57.4
20240224094001,61.13
20240224095001,62.97
20240224100001,111.91
20240224101001,120.1
20240224102001,126.55
20240224103001,123.0
20240224104001,100.52
20240224105001,124.75
20240224110001,115.82
20240224111001,111.54
20240224112001,135.36
20240224113001,132.13
20240224114001,139.77
20240224115001,138.18
20240224120001,143.83
20240224121001,101.57
20240224122001,63.33
20240224123001,43.29
20240224124001,38.32
20240224125001,37.88
20240224130001,0.0
20240224131001,0.0
20240224132001,0.0
20240224133001,0.0
20240224134001,0.0
20240224135001,0.0
20240224140001,0.0
20240224141001,0.0
20240224142001,0.0
20240224143001,0.0
20240224144001,0.0
20240224145001,0.0
20240224150001,0.0
20240224151001,0.0
20240224152001,0.0
20240224153001,0.0
20240224154001,0.0
20240224155001,0.0
20240224160001,4.52
20240224161001,0.01
20240224162001,0.0
20240224163001,4.73
20240224164001,1.64
20240224165001,2.84
20240226090001,81.91
20240226091001,87.24
20240226092001,97.76
20240226093001,88.65
20240226094001,86.86
20240226095001,104.48
20240226100001,143.22
20240226101001,166.38
20240226102001,183.16
20240226103001,200.84
20240226104001,229.15
20240226105001,188.94
20240226110001,155.68
20240226111001,148.71
20240226112001,97.33
20240226113001,89.84
20240226114001,101.49
20240226115001,104.61
20240226120001,95.45
20240226121001,92.11
20240226122001,77.79
20240226123001,66.2
20240226124001,94.52
20240226125001,76.18
20240226130001,72.78
20240226131001,84.1
20240226132001,60.05
20240226133001,67.44
20240226134001,68.7
20240226135001,62.63
20240226140001,51.33
20240226141001,27.63
20240226142001,17.33
20240226143001,26.2
20240226144001,16.42
20240226145001,17.51
20240226150001,23.85
20240226151001,24.67
20240226152001,21.84
20240226153001,16.7
20240226154001,13.67
20240226155001,14.33
20240226160001,2.06
20240226161001,1.08
20240226162001,0.0
20240226163001,0.98
20240226164001,0.0
20240226165001,0.0
20240327090001,101.24
20240327091001,133.7
20240327092001,195.12
20240327093001,246.43
20240327094001,399.04
20240327095001,509.94
20240327100001,703.44
20240327101001,783.87
20240327102001,856.3
20240327103001,873.03
20240327104001,863.6
20240327105001,928.25
20240327110001,804.29
20240327111001,601.22
20240327112001,670.55
20240327113001,559.48
20240327114001,444.98
20240327115001,348.59
20240327120001,310.78
20240327121001,296.11
20240327122001,285.13
20240327123001,264.06
20240327124001,259.05
20240327125001,224.46
20240327130001,218.75
20240327131001,205.21
20240327132001,154.6
20240327133001,119.93
20240327134001,89.32
20240327135001,58.45
20240327140001,54.88
20240327141001,49.49
20240327142001,44.82
20240327143001,30.53
20240327144001,34.51
20240327145001,31.02
20240327150001,19.01
20240327151001,8.3
20240327152001,4.43
20240327153001,0.78
20240327154001,1.99
20240327155001,2.36
20240327160001,12.99
20240327161001,13.78
20240327162001,12.21
20240327163001,16.42
20240327164001,15.9
20240327165001,11.38
20240329090001,16.28
20240329091001,13.97
20240329092001,13.89
20240329093001,5.5
20240329094001,13.51
20240329095001,29.67
20240329100001,21.21
20240329101001,18.81
20240329102001,13.04
20240329103001,12.51
20240329104001,9.91
20240329105001,13.65
20240329110001,25.59
20240329111001,25.94
20240329112001,34.71
20240329113001,38.28
20240329114001,24.91
20240329115001,33.01
20240329120001,9.16
20240329121001,0.0
